Timestamp,Location_ID,Temperature_C,Humidity_%,Air_Quality_MQ135_raw
2024-02-01 00:00:00,Room_1,25.93,54.06,2533
2024-02-01 01:00:00,Room_1,27.37,53.37,2557
2024-02-01 02:00:00,Room_1,27.77,51.97,2584
2024-02-01 03:00:00,Room_1,26.01,53.71,2527
2024-02-01 04:00:00,Room_1,28.91,55.85,2477
2024-02-01 05:00:00,Room_1,29.1,55.06,2481
2024-02-01 06:00:00,Room_1,34.39,55.62,2561
2024-02-01 07:00:00,Room_1,35.55,56.91,2543
2024-02-01 08:00:00,Room_1,31.95,53.35,2600
2024-02-01 09:00:00,Room_1,28.39,51.38,2578
2024-02-01 10:00:00,Room_1,30.77,56.32,2575
2024-02-01 11:00:00,Room_1,34.84,49.25,2636
2024-02-01 12:00:00,Room_1,33.58,50.24,2589
2024-02-01 13:00:00,Room_1,32.11,55.87,2596
2024-02-01 14:00:00,Room_1,31.79,50.72,2564
2024-02-01 15:00:00,Room_1,28.99,53.73,2400
2024-02-01 16:00:00,Room_1,27.86,50.44,2684
2024-02-01 17:00:00,Room_1,29.98,54.72,2666
2024-02-01 18:00:00,Room_1,33.61,59.0,2579
2024-02-01 19:00:00,Room_1,27.29,52.05,2618
2024-02-01 20:00:00,Room_1,29.17,56.73,2552
2024-02-01 21:00:00,Room_1,29.51,52.86,2534
2024-02-01 22:00:00,Room_1,30.43,56.29,2765
2024-02-01 23:00:00,Room_1,23.53,50.43,2562
2024-02-02 00:00:00,Room_1,26.31,52.28,2476
2024-02-02 01:00:00,Room_1,27.11,57.14,2478
2024-02-02 02:00:00,Room_1,26.74,54.65,2580
2024-02-02 03:00:00,Room_1,30.95,49.64,2560
2024-02-02 04:00:00,Room_1,25.76,58.93,2683
2024-02-02 05:00:00,Room_1,27.08,59.39,2531
2024-02-02 06:00:00,Room_1,32.68,52.42,2629
2024-02-02 07:00:00,Room_1,32.27,49.27,2602
2024-02-02 08:00:00,Room_1,32.14,55.64,2554
2024-02-02 09:00:00,Room_1,32.31,54.88,2568
2024-02-02 10:00:00,Room_1,35.55,50.54,2586
2024-02-02 11:00:00,Room_1,29.57,49.44,2607
2024-02-02 12:00:00,Room_1,35.33,55.35,2461
2024-02-02 13:00:00,Room_1,31.67,57.25,2697
2024-02-02 14:00:00,Room_1,28.87,57.56,2498
2024-02-02 15:00:00,Room_1,33.12,52.75,2606
2024-02-02 16:00:00,Room_1,31.77,58.24,2493
2024-02-02 17:00:00,Room_1,33.57,49.24,2558
2024-02-02 18:00:00,Room_1,33.29,55.71,2628
2024-02-02 19:00:00,Room_1,24.73,58.02,2591
2024-02-02 20:00:00,Room_1,24.21,55.85,2545
2024-02-02 21:00:00,Room_1,24.51,61.9,2514
2024-02-02 22:00:00,Room_1,26.82,60.04,2646
2024-02-02 23:00:00,Room_1,27.97,53.4,2652
2024-02-03 00:00:00,Room_1,28.26,50.35,2553
2024-02-03 01:00:00,Room_1,26.18,54.3,2606
2024-02-03 02:00:00,Room_1,28.19,54.47,2643
2024-02-03 03:00:00,Room_1,29.31,49.65,2435
2024-02-03 04:00:00,Room_1,27.54,55.38,2671
2024-02-03 05:00:00,Room_1,29.0,57.28,2541
2024-02-03 06:00:00,Room_1,30.97,53.6,2493
2024-02-03 07:00:00,Room_1,35.39,50.01,2646
2024-02-03 08:00:00,Room_1,37.52,50.8,2574
2024-02-03 09:00:00,Room_1,30.61,54.46,2535
2024-02-03 10:00:00,Room_1,31.98,57.95,2688
2024-02-03 11:00:00,Room_1,34.21,57.57,2640
2024-02-03 12:00:00,Room_1,29.14,55.31,2717
2024-02-03 13:00:00,Room_1,31.78,53.33,2705
2024-02-03 14:00:00,Room_1,33.14,56.8,2576
2024-02-03 15:00:00,Room_1,29.12,50.02,2631
2024-02-03 16:00:00,Room_1,33.36,54.71,2527
2024-02-03 17:00:00,Room_1,32.85,56.17,2521
2024-02-03 18:00:00,Room_1,34.82,55.47,2617
2024-02-03 19:00:00,Room_1,25.42,53.45,2607
2024-02-03 20:00:00,Room_1,25.35,51.9,2653
2024-02-03 21:00:00,Room_1,28.35,53.93,2617
2024-02-03 22:00:00,Room_1,28.09,51.49,2524
2024-02-03 23:00:00,Room_1,30.25,56.41,2616
2024-02-04 00:00:00,Room_1,25.86,53.61,2489
2024-02-04 01:00:00,Room_1,28.15,51.74,2583
2024-02-04 02:00:00,Room_1,25.47,53.8,2639
2024-02-04 03:00:00,Room_1,28.76,59.95,2664
2024-02-04 04:00:00,Room_1,24.93,52.71,2463
2024-02-04 05:00:00,Room_1,26.27,55.82,2571
2024-02-04 06:00:00,Room_1,31.64,51.27,2581
2024-02-04 07:00:00,Room_1,36.73,52.57,2679
2024-02-04 08:00:00,Room_1,28.12,52.37,2579
2024-02-04 09:00:00,Room_1,35.93,57.09,2665
2024-02-04 10:00:00,Room_1,33.83,54.1,2400
2024-02-04 11:00:00,Room_1,34.37,49.9,2577
2024-02-04 12:00:00,Room_1,34.22,55.55,2538
2024-02-04 13:00:00,Room_1,28.61,48.7,2474
2024-02-04 14:00:00,Room_1,29.21,50.79,2711
2024-02-04 15:00:00,Room_1,33.52,50.84,2612
2024-02-04 16:00:00,Room_1,30.68,54.7,2617
2024-02-04 17:00:00,Room_1,33.56,57.72,2583
2024-02-04 18:00:00,Room_1,34.46,57.55,2685
2024-02-04 19:00:00,Room_1,27.11,55.43,2654
2024-02-04 20:00:00,Room_1,27.01,58.37,2485
2024-02-04 21:00:00,Room_1,25.61,48.7,2556
2024-02-04 22:00:00,Room_1,27.61,50.87,2763
2024-02-04 23:00:00,Room_1,27.71,54.0,2695
2024-02-05 00:00:00,Room_1,28.6,57.34,2583
2024-02-05 01:00:00,Room_1,27.77,57.12,2635
2024-02-05 02:00:00,Room_1,23.38,60.24,2744
2024-02-05 03:00:00,Room_1,26.19,60.19,2513
2024-02-05 04:00:00,Room_1,26.65,57.54,2524
2024-02-05 05:00:00,Room_1,28.09,58.38,2550
2024-02-05 06:00:00,Room_1,29.17,56.87,2669
2024-02-05 07:00:00,Room_1,32.89,54.36,2576
2024-02-05 08:00:00,Room_1,35.09,54.56,2637
2024-02-05 09:00:00,Room_1,33.1,52.15,2594
2024-02-05 10:00:00,Room_1,32.81,49.86,2664
2024-02-05 11:00:00,Room_1,34.0,52.6,2767
2024-02-05 12:00:00,Room_1,29.16,51.72,2527
2024-02-05 13:00:00,Room_1,35.44,48.65,2610
2024-02-05 14:00:00,Room_1,34.52,54.14,2589
2024-02-05 15:00:00,Room_1,32.47,52.75,2541
2024-02-05 16:00:00,Room_1,31.53,54.56,2712
2024-02-05 17:00:00,Room_1,31.93,54.48,2511
2024-02-05 18:00:00,Room_1,31.8,49.92,2563
2024-02-05 19:00:00,Room_1,29.65,55.99,2614
2024-02-05 20:00:00,Room_1,23.59,49.5,2508
2024-02-05 21:00:00,Room_1,28.71,55.71,2652
2024-02-05 22:00:00,Room_1,28.99,54.45,2591
2024-02-05 23:00:00,Room_1,27.18,55.0,2558
2024-02-06 00:00:00,Room_1,25.94,51.52,2703
2024-02-06 01:00:00,Room_1,29.69,52.51,2591
2024-02-06 02:00:00,Room_1,27.4,58.86,2490
2024-02-06 03:00:00,Room_1,27.19,55.78,2605
