,Value
2025-03-06 08:00:00,26.764052345967663
2025-03-06 09:00:00,28.405014326059096
2025-03-06 10:00:00,31.81207131743907
2025-03-06 11:00:00,35.561961011066934
2025-03-06 12:00:00,37.194478694661015
2025-03-06 13:00:00,35.765313716347606
2025-03-06 14:00:00,38.45008841752559
2025-03-06 15:00:00,37.42456772125965
2025-03-06 16:00:00,36.89036851938416
2025-03-06 17:00:00,36.23166631380385
2025-03-06 18:00:00,34.31071023782755
2025-03-06 19:00:00,33.62579729132152
2025-03-06 20:00:00,30.761037725146995
2025-03-06 21:00:00,27.950151232134292
2025-03-06 22:00:00,26.27719656607876
2025-03-06 23:00:00,24.512606515508796
2025-03-07 00:00:00,24.500491701979886
2025-03-07 01:00:00,22.21891680667685
2025-03-07 02:00:00,22.8130677016509
2025-03-07 03:00:00,22.403312664474257
2025-03-07 04:00:00,22.120089479654865
2025-03-07 05:00:00,27.332550783574884
2025-03-07 06:00:00,30.03110286552617
2025-03-07 07:00:00,31.252977861901677
2025-03-07 08:00:00,37.26975462398761
